method,history,parent,arrangement,candidate_id,role,new_area_m2,area_per_action,f1_gain_05cm,end_f1_05cm,prefix_f1_05cm,paid_actions,prefix_paid_actions,task_paid_actions,f1_gain_per_action,branch_joint_auc_05cm,coverage_2d
S,P0/shelf_west,P0,shelf_west,2,west_entry,8.346419999999961,0.20866049999999903,0.028076965238882368,0.9899439753459527,0.9618670101070703,40,150,190,0.0007019241309720592,0.9817060883579232,1.0
G,P0/shelf_west,P0,shelf_west,2,west_entry,8.346419999999961,0.20866049999999903,0.028076965238882368,0.9899439753459527,0.9618670101070703,40,150,190,0.0007019241309720592,0.9817060883579232,1.0
O,P0/shelf_west,P0,shelf_west,2,west_entry,8.346419999999961,0.20866049999999903,0.028076965238882368,0.9899439753459527,0.9618670101070703,40,150,190,0.0007019241309720592,0.9817060883579232,1.0
N,P0/shelf_west,P0,shelf_west,2,west_entry,8.346419999999961,0.20866049999999903,0.028076965238882368,0.9899439753459527,0.9618670101070703,40,150,190,0.0007019241309720592,0.9817060883579232,1.0
X,P0/shelf_west,P0,shelf_west,0,coverage_anchor,2.0587835999999906,0.0935810727272723,0.006625170503071098,0.9684921806101414,0.9618670101070703,22,150,172,0.000301144113775959,0.967748018718695,1.0
M,P0/shelf_west,P0,shelf_west,2,west_entry,8.346419999999961,0.20866049999999903,0.028076965238882368,0.9899439753459527,0.9618670101070703,40,150,190,0.0007019241309720592,0.9817060883579232,1.0
S,P0/shelf_east,P0,shelf_east,0,coverage_anchor,2.865604199999989,0.13025473636363585,0.008277935218357957,0.970047717105222,0.961769781886864,22,150,172,0.0003762697826526344,0.9692204362693458,1.0
G,P0/shelf_east,P0,shelf_east,2,west_entry,4.275221799999984,0.10688054499999959,0.014438690175902269,0.9762084720627663,0.961769781886864,40,150,190,0.00036096725439755675,0.9708112898966627,1.0
O,P0/shelf_east,P0,shelf_east,2,west_entry,4.275221799999984,0.10688054499999959,0.014438690175902269,0.9762084720627663,0.961769781886864,40,150,190,0.00036096725439755675,0.9708112898966627,1.0
N,P0/shelf_east,P0,shelf_east,2,west_entry,4.275221799999984,0.10688054499999959,0.014438690175902269,0.9762084720627663,0.961769781886864,40,150,190,0.00036096725439755675,0.9708112898966627,1.0
X,P0/shelf_east,P0,shelf_east,2,west_entry,4.275221799999984,0.10688054499999959,0.014438690175902269,0.9762084720627663,0.961769781886864,40,150,190,0.00036096725439755675,0.9708112898966627,1.0
M,P0/shelf_east,P0,shelf_east,2,west_entry,4.275221799999984,0.10688054499999959,0.014438690175902269,0.9762084720627663,0.961769781886864,40,150,190,0.00036096725439755675,0.9708112898966627,1.0
S,P1/shelf_west,P1,shelf_west,0,coverage_anchor,3.505496399999985,0.15934074545454477,0.010485081604174384,0.9721566720625874,0.961671590458413,22,150,172,0.00047659461837156294,0.9710020737340376,1.0
G,P1/shelf_west,P1,shelf_west,3,east_entry,4.55343579999998,0.1138358949999995,0.015949700676774592,0.9776212911351876,0.961671590458413,40,150,190,0.0003987425169193648,0.9713176712554068,1.0
O,P1/shelf_west,P1,shelf_west,3,east_entry,4.55343579999998,0.1138358949999995,0.015949700676774592,0.9776212911351876,0.961671590458413,40,150,190,0.0003987425169193648,0.9713176712554068,1.0
N,P1/shelf_west,P1,shelf_west,1,old_surface_rotation,0.00927379999999996,0.00463689999999998,0.0005008823397805173,0.9621724727981935,0.961671590458413,2,150,152,0.00025044116989025866,0.9621640202997969,1.0
X,P1/shelf_west,P1,shelf_west,3,east_entry,4.55343579999998,0.1138358949999995,0.015949700676774592,0.9776212911351876,0.961671590458413,40,150,190,0.0003987425169193648,0.9713176712554068,1.0
M,P1/shelf_west,P1,shelf_west,3,east_entry,4.55343579999998,0.1138358949999995,0.015949700676774592,0.9776212911351876,0.961671590458413,40,150,190,0.0003987425169193648,0.9713176712554068,1.0
S,P1/shelf_east,P1,shelf_east,3,east_entry,8.949216999999974,0.22373042499999934,0.031082397045732568,0.9915747092215195,0.9604923121757869,40,150,190,0.0007770599261433142,0.9822271977079958,1.0
G,P1/shelf_east,P1,shelf_east,3,east_entry,8.949216999999974,0.22373042499999934,0.031082397045732568,0.9915747092215195,0.9604923121757869,40,150,190,0.0007770599261433142,0.9822271977079958,1.0
O,P1/shelf_east,P1,shelf_east,3,east_entry,8.949216999999974,0.22373042499999934,0.031082397045732568,0.9915747092215195,0.9604923121757869,40,150,190,0.0007770599261433142,0.9822271977079958,1.0
N,P1/shelf_east,P1,shelf_east,1,old_surface_rotation,0.009273799999999973,0.004636899999999986,0.0004648213368859677,0.9609571335126729,0.9604923121757869,2,150,152,0.00023241066844298386,0.9609490648162246,1.0
X,P1/shelf_east,P1,shelf_east,0,coverage_anchor,2.5224735999999925,0.11465789090909057,0.00769092121237458,0.9681832333881615,0.9604923121757869,22,150,172,0.00034958732783520814,0.967445256810412,1.0
M,P1/shelf_east,P1,shelf_east,3,east_entry,8.949216999999974,0.22373042499999934,0.031082397045732568,0.9915747092215195,0.9604923121757869,40,150,190,0.0007770599261433142,0.9822271977079958,1.0
