cohort,parent,hypothesis,method,threshold,C_map,precision,recall,f1,joint
v35_online,P00,0,G,02cm,0.9574829931972789,0.809234619140625,0.66546630859375,0.7303424913594134,0.699290514685969
v35_online,P00,0,G,05cm,0.9574829931972789,0.874542236328125,0.748443603515625,0.8065942742261392,0.7723002999818306
v35_online,P00,0,G,10cm,0.9574829931972789,0.896514892578125,0.78045654296875,0.8344696861856188,0.7989905328614003
v35_online,P00,0,S,02cm,0.9574829931972789,0.809234619140625,0.66546630859375,0.7303424913594134,0.699290514685969
v35_online,P00,0,S,05cm,0.9574829931972789,0.874542236328125,0.748443603515625,0.8065942742261392,0.7723002999818306
v35_online,P00,0,S,10cm,0.9574829931972789,0.896514892578125,0.78045654296875,0.8344696861856188,0.7989905328614003
v35_online,P00,0,swapped,02cm,0.9574829931972789,0.810089111328125,0.546417236328125,0.6526274707910047,0.6248797041757409
v35_online,P00,0,swapped,05cm,0.9574829931972789,0.858367919921875,0.589569091796875,0.6990182457939849,0.6692980822823359
v35_online,P00,0,swapped,10cm,0.9574829931972789,0.880462646484375,0.603057861328125,0.7158241733390001,0.6853894720915936
v35_online,P00,0,swapped_no_feedback,02cm,0.9574829931972789,0.8243408203125,0.53009033203125,0.6452525820750811,0.6178183736535215
v35_online,P00,0,swapped_no_feedback,05cm,0.9574829931972789,0.862884521484375,0.56341552734375,0.6817114506983559,0.652727120311521
v35_online,P00,0,swapped_no_feedback,10cm,0.9574829931972789,0.88385009765625,0.5784912109375,0.6992888873146573,0.6695572169356327
v35_online,P00,1,G,02cm,0.9574829931972789,0.782135009765625,0.552978515625,0.6478907575923164,0.6203443818443438
v35_online,P00,1,G,05cm,0.9574829931972789,0.862396240234375,0.596466064453125,0.7051934781767576,0.6752107622678819
v35_online,P00,1,G,10cm,0.9574829931972789,0.88641357421875,0.60748291015625,0.7209081797842146,0.690257321800192
v35_online,P00,1,S,02cm,0.9574829931972789,0.820892333984375,0.66375732421875,0.7340092607930341,0.7028013840586363
v35_online,P00,1,S,05cm,0.9574829931972789,0.878204345703125,0.742095947265625,0.8044334604461103,0.7702313575359866
v35_online,P00,1,S,10cm,0.9574829931972789,0.897064208984375,0.771148681640625,0.8293544379052455,0.7940927696269613
v35_online,P00,1,swapped,02cm,0.9574829931972789,0.782135009765625,0.552978515625,0.6478907575923164,0.6203443818443438
v35_online,P00,1,swapped,05cm,0.9574829931972789,0.862396240234375,0.596466064453125,0.7051934781767576,0.6752107622678819
