method,paid_action_completed,x_m,y_m,heading_index,action_just_completed,next_action_selected,source_trace
G,0,0,0,0,,left,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,1,0,0,3,left,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,2,-1,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,3,-2,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,4,-3,0,3,forward,right,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,5,-3,0,0,right,right,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,6,-3,0,1,right,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,7,-2,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,8,-1,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,9,0,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,10,1,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,11,2,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,12,3,0,1,forward,left,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,13,3,0,0,left,left,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,14,3,0,3,left,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,15,2,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,16,1,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,17,0,0,3,forward,right,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,18,0,0,0,right,left,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,19,0,0,3,left,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,20,-1,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,21,-2,0,3,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,22,-3,0,3,forward,right,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,23,-3,0,0,right,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,24,-3,1,0,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,25,-3,2,0,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,26,-3,3,0,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,27,-3,4,0,forward,right,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,28,-3,4,1,right,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,29,-2,4,1,forward,left,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,30,-2,4,0,left,left,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,31,-2,4,3,left,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,32,-3,4,3,forward,left,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,33,-3,4,2,left,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,34,-3,3,2,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,35,-3,2,2,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,36,-3,1,2,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,37,-3,0,2,forward,left,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,38,-3,0,1,left,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,39,-2,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,40,-1,0,1,forward,forward,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,41,0,0,1,forward,left,audit_results/v36_online_confirmation_20260918/case02/trace.json
G,42,0,0,0,left,,audit_results/v36_online_confirmation_20260918/case02/trace.json
S,0,0,0,0,,left,audit_results/v36_online_confirmation_20260918/case03/trace.json
